@relation naiveBayes

@attribute le0 numeric
@attribute le1 numeric
@attribute le2 numeric
@attribute le3 numeric
@attribute le4 numeric
@attribute le5 numeric
@attribute le6 numeric
@attribute le7 numeric
@attribute le8 numeric
@attribute re0 numeric
@attribute re1 numeric
@attribute re2 numeric
@attribute re3 numeric
@attribute re4 numeric
@attribute re5 numeric
@attribute re6 numeric
@attribute re7 numeric
@attribute re8 numeric
@attribute ll0 numeric
@attribute ll1 numeric
@attribute ll2 numeric
@attribute ll3 numeric
@attribute ll4 numeric
@attribute ll5 numeric
@attribute ll6 numeric
@attribute ll7 numeric
@attribute ll8 numeric
@attribute ul0 numeric
@attribute ul1 numeric
@attribute ul2 numeric
@attribute ul3 numeric
@attribute ul4 numeric
@attribute ul5 numeric
@attribute ul6 numeric
@attribute ul7 numeric
@attribute ul8 numeric
@attribute label {Normal,Drooping}

@data
129.604858,148.477722,42.44275,138.816682,188.27858,193.541077,2.922196,191.162195,0.025212,172.93367,192.135559,43.903933,182.720894,187.432236,192.639313,2.894069,190.273645,0.069747,146.928696,176.589844,106.058974,161.596939,243.258179,249.087311,4.226584,246.477544,0.023366,145.26178,178.322418,145.734575,161.339594,237.852432,242.656631,2.414237,240.002093,0.021149,Normal
123.946747,145.70343,56.419012,134.675389,174.680908,183.904526,9.658976,179.511697,0.152577,173.00592,194.317383,53.692415,183.776937,175.496216,184.50354,8.841528,180.191032,0.115746,139.783859,171.647324,128.75583,155.531952,254.042145,262.658112,9.031582,258.804771,0.038655,138.737015,172.926926,156.696575,156.123351,245.298187,253.588196,7.05446,248.931272,0.043198,Normal
114.212639,145.44455,115.415494,129.451285,188.312408,194.855591,4.666756,191.748798,0.019216,186.87027,218.101364,114.932844,202.904949,187.301056,193.794434,4.454993,190.671544,0.014222,138.853165,198.167999,413.273067,168.659378,254.054932,262.736664,9.017217,259.090873,0.023253,134.803467,202.045609,606.856311,168.610357,246.764069,252.971375,3.627095,249.448162,0.023036,Normal
110.590302,141.299957,110.833642,125.415615,185.532272,192.328049,4.900849,189.069591,0.016801,182.181931,212.742081,109.67921,197.973714,184.302963,191.011612,4.768437,187.752703,0.024214,137.052887,189.485794,327.581091,163.458394,255.270203,262.009125,5.460325,259.111454,0.021675,133.792358,192.63884,467.99782,163.522788,245.431076,254.645706,9.296642,249.577114,0.021394,Normal
112.900711,144.037537,114.43727,127.931626,188.746185,195.895279,5.47356,192.509851,0.018416,185.131912,215.908447,111.625813,201.048815,187.574722,194.776733,5.502595,191.342527,0.021283,139.839951,193.847137,345.87754,167.176531,258.436279,265.320129,5.852192,262.306437,0.0165,136.323685,197.101425,497.383569,167.028809,249.365799,257.442413,7.219668,253.020411,0.015125,Normal
113.018372,144.223724,115.495021,128.182967,180.355225,187.314117,5.189867,184.10314,0.002099,184.53006,216.200256,117.838213,200.824791,180.450424,187.517197,5.383392,184.24121,0.000227,132.905991,196.032898,468.547861,164.327993,247.146469,256.455841,11.806894,252.235762,0.000183,128.74762,200.311737,680.402057,164.538062,239.215408,244.072571,2.771463,241.471811,0.000522,Normal
110.639313,142.009903,116.585976,125.834153,182.827896,190.12204,5.716935,186.710093,0.005742,182.757141,213.885941,114.290695,198.826454,182.78215,189.942566,5.477348,186.614885,0.012438,134.955078,194.306488,413.078397,164.883831,250.054474,258.100037,8.15737,254.602444,0.012677,130.841812,198.18396,604.340977,164.710007,242.71199,248.340073,3.23904,245.251415,0.012457,Normal
159.857635,181.341675,55.052186,170.622036,224.713089,230.04866,3.086379,227.591886,0.072666,209.574158,230.179626,51.296922,220.014187,225.120636,230.142929,2.706041,227.771014,0.068209,177.743713,215.31015,176.214751,196.798038,288.244781,300.035736,18.886057,294.502014,0.000384,175.782684,217.104874,231.010316,196.609765,283.421509,285.386292,0.468412,284.158003,0.00095,Normal
95.347717,135.955475,195.653917,114.951523,181.942795,199.301941,33.599623,191.463768,0.12077,188.9814,230.969986,206.24606,210.81428,187.978729,204.989899,31.418179,197.118644,0.004647,121.383636,192.145569,610.51923,155.86928,319.577545,338.744232,39.913308,331.339606,0.09656,118.046753,196.05484,802.690867,155.955126,305.026245,322.752106,28.55964,312.04215,0.099396,Drooping
92.033531,136.579147,231.489881,113.711993,188.614197,201.919128,18.92597,195.945193,0.055044,191.002075,232.350754,206.676285,212.566925,177.050888,190.484818,23.147946,184.207397,0.193032,143.154312,216.378235,638.765768,182.336839,278.060516,298.380524,41.303253,291.177094,0.149344,137.421432,219.737564,900.359155,179.372305,271.860443,285.360535,22.715793,276.781619,0.147327,Drooping
99.621956,148.213486,272.190544,123.621727,156.646408,170.710846,22.161027,164.649598,0.072647,209.305939,255.573441,250.821062,233.421044,165.89534,180.483627,24.885498,174.017136,0.082728,124.212296,219.725983,1114.850796,172.456796,294.242615,318.501099,63.853114,309.271847,0.085892,119.192902,225.005936,1479.863347,174.531639,270.438751,296.44632,62.089347,280.734983,0.089459,Drooping
73.47995,119.107735,246.676172,95.419939,183.332001,201.49411,36.988459,193.588918,0.055078,177.737427,224.759903,260.410177,201.670128,171.836624,189.102509,36.066669,181.545314,0.172115,123.856476,206.062042,813.747815,165.057324,304.342163,329.353912,62.235455,320.764367,0.185145,118.92205,210.515015,1091.547982,163.204299,292.105103,315.739532,59.45163,300.50051,0.189069,Drooping
